,region,social-contribution,gross-salary,year,Total
129,Guadeloupe ,641.0,13388.0,2008,401784
130,Martinique ,784.0,13909.0,2008,397693
131,Guyane,701.0,8986.0,2008,219266
132,La Réunion,698.0,14164.0,2008,808250
133,Auvergne-Rhône-Alpes,1954.0,19612.0,2009,7518004
134,Bourgogne-Franche-Comté,1717.0,18899.0,2009,2810648
135,Bretagne,1802.0,18826.0,2009,3175064
136,Centre-Val-de-Loire,1837.0,19468.0,2009,2538590
137,Corse,1750.0,18548.0,2009,305674
138,Grand Est,1767.0,18372.0,2009,5531118
139,Hauts-de-France,1647.0,17204.0,2009,5944354
140,Île-de-France,2913.0,23414.0,2009,11728240
141,Normandie,1727.0,18804.0,2009,3303822
142,Nouvelle-Aquitaine,1868.0,18986.0,2009,5708497
143,Occitanie,1826.0,18372.0,2009,5473597
144,Pays de la Loire,1872.0,18607.0,2009,3539048
145,Provence-Alpes-Côte d'Azur,1966.0,19283.0,2009,4889053
146,France métropolitaine,2029.0,19613.0,2009,62465709
147,DOM,698.0,12819.0,2009,1838791
148,Guadeloupe ,667.0,13553.0,2009,401554
149,Martinique ,812.0,14345.0,2009,396404
150,Guyane,768.0,9493.0,2009,224469
151,La Réunion,773.0,14536.0,2009,816364
152,Auvergne-Rhône-Alpes,1997.0,19969.0,2010,7578078
153,Bourgogne-Franche-Comté,1744.0,19333.0,2010,2813878
154,Bretagne,1843.0,19113.0,2010,3199066
155,Centre-Val-de-Loire,1858.0,19913.0,2010,2548065
156,Corse,1783.0,18641.0,2010,309693
157,Grand Est,1793.0,18585.0,2010,5532530
158,Hauts-de-France,1678.0,17455.0,2010,5953001
159,Île-de-France,2932.0,23962.0,2010,11786234
160,Normandie,1755.0,19079.0,2010,3310448
161,Nouvelle-Aquitaine,1906.0,19309.0,2010,5745486
162,Occitanie,1860.0,18662.0,2010,5518106
163,Pays de la Loire,1906.0,18912.0,2010,3571495
164,Provence-Alpes-Côte d'Azur,2016.0,19695.0,2010,4899155
165,France métropolitaine,2062.0,19974.0,2010,62765235
166,DOM,812.0,13414.0,2010,1847704
167,Guadeloupe ,766.0,14263.0,2010,403355
168,Martinique ,1243.0,15521.0,2010,394173
169,Guyane,1367.0,9984.0,2010,229040
170,La Réunion,629.0,15008.0,2010,821136
171,Auvergne-Rhône-Alpes,1998.0,20370.0,2011,7634223
172,Bourgogne-Franche-Comté,1754.0,19823.0,2011,2816174
173,Bretagne,1839.0,19493.0,2011,3217767
174,Centre-Val-de-Loire,1849.0,20136.0,2011,2556835
175,Corse,1714.0,18831.0,2011,314486
176,Grand Est,1830.0,19058.0,2011,5539035
177,Hauts-de-France,1668.0,17551.0,2011,5960170
178,Île-de-France,2950.0,24138.0,2011,11852851
179,Normandie,1741.0,19315.0,2011,3315077
180,Nouvelle-Aquitaine,1895.0,19676.0,2011,5773078
181,Occitanie,1846.0,18938.0,2011,5573466
182,Pays de la Loire,1873.0,19136.0,2011,3601113
183,Provence-Alpes-Côte d'Azur,2018.0,20125.0,2011,4916069
184,France métropolitaine,2063.0,20276.0,2011,63070344
185,DOM,876.0,13687.0,2011,1863056
186,Guadeloupe ,790.0,14493.0,2011,404635
187,Martinique ,1266.0,15824.0,2011,392291
188,Guyane,1388.0,10061.0,2011,237549
189,La Réunion,762.0,15419.0,2011,828581
190,Auvergne-Rhône-Alpes,2086.0,20448.0,2012,7695264
191,Bourgogne-Franche-Comté,1824.0,19695.0,2012,2816814
192,Bretagne,1902.0,19453.0,2012,3237097
193,Centre-Val-de-Loire,1918.0,20004.0,2012,2563586
194,Corse,1868.0,19126.0,2012,316257
195,Grand Est,1882.0,18976.0,2012,5548955
196,Hauts-de-France,1737.0,17568.0,2012,5973098
197,Île-de-France,3038.0,24200.0,2012,11898502
198,Normandie,1819.0,19402.0,2012,3322756
199,Nouvelle-Aquitaine,1965.0,19645.0,2012,5808594
200,Occitanie,1920.0,18938.0,2012,5626858
201,Pays de la Loire,1955.0,19191.0,2012,3632614
202,Provence-Alpes-Côte d'Azur,2098.0,20110.0,2012,4935576
203,France métropolitaine,2139.0,20283.0,2012,63375971
204,DOM,919.0,13949.0,2012,1865270
205,Guadeloupe ,889.0,14782.0,2012,403314
206,Martinique ,1383.0,16140.0,2012,388364
207,Guyane,1364.0,10317.0,2012,239648
208,La Réunion,779.0,15748.0,2012,833944
209,Auvergne-Rhône-Alpes,2181.0,20468.0,2013,7757595
210,Bourgogne-Franche-Comté,1899.0,19771.0,2013,2819783
211,Bretagne,1982.0,19397.0,2013,3258707
212,Centre-Val-de-Loire,2004.0,19993.0,2013,2570548
213,Corse,1948.0,19127.0,2013,320208
214,Grand Est,1979.0,19026.0,2013,5552388
215,Hauts-de-France,1805.0,17530.0,2013,5987883
216,Île-de-France,3138.0,23907.0,2013,11959807
217,Normandie,1891.0,19429.0,2013,3328364
218,Nouvelle-Aquitaine,2051.0,19508.0,2013,5844177
219,Occitanie,2003.0,18894.0,2013,5683878
220,Pays de la Loire,2048.0,19303.0,2013,3660852
221,Provence-Alpes-Côte d'Azur,2171.0,20179.0,2013,4953675
222,France métropolitaine,2225.0,20228.0,2013,63697865
223,DOM,896.0,14119.0,2013,1866891
224,Guadeloupe ,891.0,14893.0,2013,402119
225,Martinique ,1303.0,16319.0,2013,385551
226,Guyane,1271.0,10291.0,2013,244118
227,La Réunion,795.0,16075.0,2013,835103
228,Auvergne-Rhône-Alpes,2243.0,20593.0,2014,7820966
229,Bourgogne-Franche-Comté,1941.0,20063.0,2014,2820623
230,Bretagne,2028.0,19530.0,2014,3276543
231,Centre-Val-de-Loire,2050.0,20021.0,2014,2577435
232,Corse,1993.0,18520.0,2014,324212
233,Grand Est,2029.0,19189.0,2014,5554645
234,Hauts-de-France,1852.0,17637.0,2014,6006156
235,Île-de-France,3216.0,24084.0,2014,12027565
236,Normandie,1935.0,19588.0,2014,3335645
237,Nouvelle-Aquitaine,2101.0,19742.0,2014,5879144
238,Occitanie,2057.0,19019.0,2014,5730753
239,Pays de la Loire,2097.0,19302.0,2014,3690833
240,Provence-Alpes-Côte d'Azur,2221.0,20177.0,2014,4983438
241,France métropolitaine,2282.0,20361.0,2014,64027958
242,DOM,942.0,14551.0,2014,2102915
243,Guadeloupe ,947.0,15205.0,2014,400186
244,Martinique ,1324.0,16682.0,2014,383911
245,Guyane,1461.0,10522.0,2014,252338
246,La Réunion,822.0,16634.0,2014,842767
247,Mayotte,141.0,6459.0,2014,223713
248,Auvergne-Rhône-Alpes,2256.0,20664.0,2015,7877698
249,Bourgogne-Franche-Comté,1979.0,20194.0,2015,2820940
250,Bretagne,2050.0,19749.0,2015,3293850
251,Centre-Val-de-Loire,2084.0,20199.0,2015,2578592
252,Corse,2008.0,18832.0,2015,327283
253,Grand Est,2067.0,19338.0,2015,5559051
254,Hauts-de-France,1879.0,17794.0,2015,6009976
255,Île-de-France,3257.0,24190.0,2015,12082144
256,Normandie,1969.0,19698.0,2015,3339131
257,Nouvelle-Aquitaine,2120.0,19786.0,2015,5911482
258,Occitanie,2066.0,19094.0,2015,5774185
259,Pays de la Loire,2114.0,19484.0,2015,3718512
260,Provence-Alpes-Côte d'Azur,2248.0,20370.0,2015,5007977
261,France métropolitaine,2308.0,20485.0,2015,64300821
262,DOM,958.0,14892.0,2015,2121648
263,Guadeloupe ,960.0,15697.0,2015,397990
264,Martinique ,1380.0,17165.0,2015,380877
265,Guyane,1445.0,10589.0,2015,259865
266,La Réunion,842.0,17036.0,2015,850727
267,Mayotte,136.0,6747.0,2015,232189
