Code département,Département,Code canton,Canton,Inscrits,Abstentions,Votants,taux de participation (%),Blancs et nuls,Exprimés,Sexe 01,Nom 01,Prenom 01,Nuance 01,Voix 01,Sexe 02,Nom 02,Prenom 02,Nuance 02,Voix 02,Sexe 03,Nom 03,Prenom 03,Nuance 03,Voix 03,Sexe 04,Nom 04,Prenom 04,Nuance 04,Voix 04,Sexe 05,Nom 05,Prenom 05,Nuance 05,Voix 05,Sexe 06,Nom 06,Prenom 06,Nuance 06,Voix 06,Sexe 07,Nom 07,Prenom 07,Nuance 07,Voix 07,Sexe 08,Nom 08,Prenom 08,Nuance 08,Voix 08,Sexe 09,Nom 09,Prenom 09,Nuance 09,Voix 09,Sexe 10,Nom 10,Prenom 10,Nuance 10,Voix 10,Sexe 11,Nom 11,Prenom 11,Nuance 11,Voix 11
2,AISNE,26,ROZOY-SUR-SERRE,5913,1287,4626,"78,23",177,4449,M,FRICOTEAUX,Nicolas,DVD,1923,M,LE PROVOST,Guy,DVG,1299,M,PAGNON,Jean-François,SOC,996,M,FAUVERGUE,Gaultier,FN,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,29,SAINT-SIMON,8505,2411,6094,"71,65",272,5822,M,RENARD,Roland,DVG,3477,M,VAN HEESWYCK,Sylvain,DVD,1700,M,POULET,Jean-Jacques,FN,645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,31,SOISSONS-NORD,15156,5858,9298,"61,35",260,9038,M,DAY,Patrick,SOC,3909,F,LETRILLART,Isabelle,DVD,2568,M,MOREL,Jean,DVG,1748,F,DALL'ARA,Michèle,FN,813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,36,VILLERS-COTTERETS,10165,3389,6776,"66,66",241,6535,M,LAVIOLETTE,Michel,DVD,3040,M,PIERRE,Jean-Claude,SOC,2205,M,BRIFFAUT,Franck,FN,1290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,37,WASSIGNY,4955,997,3958,"79,88",271,3687,M,WATTELLE,Charles,SOC,1586,M,FOIX,Rémi,UMP,1002,M,TAVERNIER,André-Paul,AUT,469,M,PAGNIEZ,Jean-Claude,DVG,410,F,HUNING,Lydie,FN,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,38,LAON-SUD,15691,5584,10107,"64,41",431,9676,M,LAMANT,Jean-Claude,UMP,3850,M,DELEROT,Thierry,SOC,3450,M,TURQUIN,François,VEC,985,F,BRUNET,Claudine,COM,732,F,ROSSINI,Claire,FN,659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,40,SAINT-QUENTIN-SUD,17639,7122,10517,"59,62",474,10043,M,GRANDIN,Alexis,UMP,3375,M,CAPPELE,Jean-Claude,DVG,2797,M,GARAND,Michel,SOC,1746,M,TOURNAY,Jean-Luc,COM,1191,F,PLONQUET,Christiane,FN,739,M,LIPKA,Daniel,M-NC,195,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,41,SOISSONS-SUD,16922,7124,9798,"57,9",335,9463,M,VALLEE,Serge,DVG,3010,M,CARRE,Jean-Marie,DVG,2300,M,TORDEUX,Pascal,DVD,2177,M,DE SAINT JUST,Wallerand,FN,1103,M,THIERRY,Alain,DVD,873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,42,TERGNIER,13089,5552,7537,"57,58",387,7150,M,CARREAU,Michel,COM,5003,M,COMMIN-LAGNIER,Jean-Pierre,DVG,1247,F,RUELLE,Evelyne,FN,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ALLIER,4,CHEVAGNES,5658,1345,4313,"76,23",162,4151,M,LOGNON,Alain,COM,1932,M,LESAGE,Jean-Marie,UMP,1379,F,CHASSIN,Marie-José,SOC,671,M,TAILLANDIER,Bernard,FN,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ALLIER,5,COMMENTRY,6244,1751,4493,"71,96",112,4381,M,RIBOULET,Claude,DVD,2310,M,SCARAMOZZINO,Jean-Pierre,SOC,1197,M,PASSAT,Alain,COM,595,M,BAYET,René,DVD,179,M,ESTIQUE,Jean-François,AUT,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ALLIER,8,LE DONJON,4157,821,3336,"80,25",144,3192,M,LABBE,Guy,SOC,856,F,RIVENEZ,Marie-Odile,DVD,731,M,RAJAUD,Michel,RDG,659,M,CASSO,Régis,AUT,605,M,DEPOIL,Jean-Claude,COM,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ALLIER,9,EBREUIL,3665,807,2858,"77,98",98,2760,M,BIDET,Dominique,COM,1351,M,BONNEFILLE,Michel,DVD,1034,M,MAGOT,Jean-Claude,SOC,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
