region,year,election,Votants,Inscrits,social-contribution,gross-salary,Total,Metric
Grand Est,2002,presidential,2764772.0,3658982.5,1597.0,15742.0,5432715,Salary
Grand Est,2004,cantonales,1007547.5,1648826.0,1717.0,16709.0,5458878,Salary
Grand Est,2007,legislative,1675515.5,3008959.5,1731.0,18190.0,5506616,Salary
Grand Est,2007,presidential,4713047.0,5668704.0,1731.0,18190.0,5506616,Salary
Grand Est,2008,cantonales,895919.0,1469409.5,1769.0,18458.0,5521452,Salary
Grand Est,2011,cantonales,766187.0,1807586.5,1830.0,19058.0,5539035,Salary
Grand Est,2012,legislative,2022865.0,3694760.0,1882.0,18976.0,5548955,Salary
Grand Est,2012,presidential,3074467.5,3856313.5,1882.0,18976.0,5548955,Salary
Guadeloupe ,2002,legislative,104189.0,281599.5,466.0,9768.0,393024,Salary
Guadeloupe ,2002,presidential,102388.5,279807.5,466.0,9768.0,393024,Salary
Guadeloupe ,2004,cantonales,81855.5,139192.5,497.0,10788.0,396992,Salary
Guadeloupe ,2007,legislative,116345.0,303620.0,619.0,11721.0,400584,Salary
Guadeloupe ,2007,presidential,188935.0,303266.5,619.0,11721.0,400584,Salary
Guadeloupe ,2008,cantonales,71532.0,115082.5,641.0,13388.0,401784,Salary
Guadeloupe ,2011,cantonales,59209.5,133687.5,790.0,14493.0,404635,Salary
Guadeloupe ,2012,legislative,95833.0,265131.0,889.0,14782.0,403314,Salary
Guadeloupe ,2012,presidential,170912.5,298138.5,889.0,14782.0,403314,Salary
Guyane,2002,legislative,17879.0,51784.5,464.0,8544.0,176638,Salary
Guyane,2002,presidential,23777.5,51788.5,464.0,8544.0,176638,Salary
Guyane,2004,cantonales,11663.0,20581.0,442.0,8611.0,193167,Salary
Guyane,2007,legislative,25682.0,62807.5,554.0,9313.0,213031,Salary
Guyane,2007,presidential,38276.5,62626.5,554.0,9313.0,213031,Salary
Guyane,2008,cantonales,14083.5,28367.5,701.0,8986.0,219266,Salary
Guyane,2011,cantonales,10948.0,28576.0,1388.0,10061.0,237549,Salary
Guyane,2012,legislative,25962.5,77209.5,1364.0,10317.0,239648,Salary
Guyane,2012,presidential,41634.5,76981.5,1364.0,10317.0,239648,Salary
Hauts-de-France,2002,legislative,2401677.5,3953951.0,1367.0,14084.0,5879893,Salary
Hauts-de-France,2002,presidential,3064756.0,4042811.5,1367.0,14084.0,5879893,Salary
Hauts-de-France,2004,cantonales,1259223.5,1950245.5,1480.0,14958.0,5893957,Salary
Hauts-de-France,2007,legislative,2309487.0,3895226.0,1606.0,16752.0,5922030,Salary
Hauts-de-France,2007,presidential,4348419.5,5257543.0,1606.0,16752.0,5922030,Salary
Hauts-de-France,2008,cantonales,1014367.5,1718332.0,1648.0,17322.0,5931091,Salary
Hauts-de-France,2011,cantonales,901390.5,2022670.5,1668.0,17551.0,5960170,Salary
Hauts-de-France,2012,legislative,2312751.5,4169065.0,1737.0,17568.0,5973098,Salary
Hauts-de-France,2012,presidential,3342203.5,4210628.0,1737.0,17568.0,5973098,Salary
La Réunion,2002,legislative,189126.5,344420.0,509.0,11367.0,740207,Salary
La Réunion,2002,presidential,281292.5,436945.5,509.0,11367.0,740207,Salary
La Réunion,2004,cantonales,133698.0,195386.0,572.0,12293.0,761630,Salary
La Réunion,2007,legislative,286406.5,512976.5,642.0,14155.0,794107,Salary
La Réunion,2007,presidential,382600.5,510795.5,642.0,14155.0,794107,Salary
La Réunion,2008,cantonales,131290.5,201051.0,698.0,14164.0,808250,Salary
La Réunion,2011,cantonales,139156.5,268219.0,762.0,15419.0,828581,Salary
La Réunion,2012,legislative,238945.5,490068.5,779.0,15748.0,833944,Salary
La Réunion,2012,presidential,400391.0,578382.0,779.0,15748.0,833944,Salary
Martinique ,2002,legislative,91653.5,266562.0,634.0,11617.0,389302,Salary
Martinique ,2002,presidential,107312.5,266379.0,634.0,11617.0,389302,Salary
Martinique ,2004,cantonales,55490.5,107163.5,661.0,12490.0,393852,Salary
Martinique ,2007,legislative,112633.0,288260.5,774.0,13875.0,397730,Salary
Martinique ,2007,presidential,179354.5,287491.5,774.0,13875.0,397730,Salary
Martinique ,2008,cantonales,57708.5,102129.5,784.0,13909.0,397693,Salary
Martinique ,2011,cantonales,56797.0,155580.5,1266.0,15824.0,392291,Salary
Martinique ,2012,legislative,108936.0,303058.0,1383.0,16140.0,388364,Salary
Martinique ,2012,presidential,169862.5,302807.5,1383.0,16140.0,388364,Salary
Normandie,2002,legislative,1293658.0,2069679.0,1465.0,15389.0,3231900,Salary
Normandie,2002,presidential,1737795.0,2247099.5,1465.0,15389.0,3231900,Salary
Normandie,2004,cantonales,621655.0,957646.5,1593.0,16386.0,3249220,Salary
Normandie,2007,legislative,1323443.5,2167451.5,1700.0,18061.0,3278145,Salary
Normandie,2007,presidential,2729952.5,3222025.0,1700.0,18061.0,3278145,Salary
Normandie,2008,cantonales,588708.5,939935.5,1733.0,18997.0,3293092,Salary
Normandie,2011,cantonales,467225.5,1021713.5,1741.0,19315.0,3315077,Salary
Normandie,2012,legislative,1324368.0,2285370.0,1819.0,19402.0,3322756,Salary
Normandie,2012,presidential,1948215.5,2372837.0,1819.0,19402.0,3322756,Salary
Nouvelle-Aquitaine,2002,legislative,2590080.5,3857113.0,1465.0,15649.0,5386308,Salary
Nouvelle-Aquitaine,2002,presidential,3042212.0,3877659.0,1465.0,15649.0,5386308,Salary
Nouvelle-Aquitaine,2004,cantonales,1180876.5,1719148.0,1581.0,16498.0,5476513,Salary
Nouvelle-Aquitaine,2007,legislative,2586022.0,3985575.5,1795.0,18621.0,5627671,Salary
Nouvelle-Aquitaine,2007,presidential,5026909.5,5796217.0,1795.0,18621.0,5627671,Salary
Nouvelle-Aquitaine,2008,cantonales,1065738.0,1615632.5,1851.0,19111.0,5671076,Salary
Nouvelle-Aquitaine,2011,cantonales,878063.5,1826476.5,1895.0,19676.0,5773078,Salary
Nouvelle-Aquitaine,2012,legislative,2269040.0,3779417.0,1965.0,19645.0,5808594,Salary
Nouvelle-Aquitaine,2012,presidential,3505744.0,4201549.5,1965.0,19645.0,5808594,Salary
Occitanie,2002,legislative,2377613.5,3537997.0,1414.0,15064.0,5030703,Salary
Occitanie,2002,presidential,2803894.5,3541326.5,1414.0,15064.0,5030703,Salary
Occitanie,2004,cantonales,1135418.0,1629409.5,1523.0,15782.0,5167552,Salary
Occitanie,2007,legislative,2464897.5,3834304.5,1730.0,18001.0,5371117,Salary
Occitanie,2007,presidential,4581127.0,5276528.5,1730.0,18001.0,5371117,Salary
Occitanie,2008,cantonales,1121142.5,1659559.0,1816.0,18323.0,5419946,Salary
Occitanie,2011,cantonales,891787.5,1807852.0,1846.0,18938.0,5573466,Salary
Occitanie,2012,legislative,2362888.5,3870842.0,1920.0,18938.0,5626858,Salary
Occitanie,2012,presidential,3347950.5,4008615.0,1920.0,18938.0,5626858,Salary
Pays de la Loire,2002,legislative,1241101.5,1956022.0,1489.0,15274.0,3314649,Salary
Pays de la Loire,2002,presidential,1839797.0,2351832.5,1489.0,15274.0,3314649,Salary
Pays de la Loire,2004,cantonales,683923.0,1065340.5,1595.0,16106.0,3379784,Salary
Pays de la Loire,2007,legislative,1355025.5,2208529.5,1807.0,18175.0,3482594,Salary
Pays de la Loire,2007,presidential,3431973.0,3949644.0,1807.0,18175.0,3482594,Salary
Pays de la Loire,2008,cantonales,575185.5,929738.0,1783.0,18832.0,3510170,Salary
Pays de la Loire,2011,cantonales,523000.5,1198190.5,1873.0,19136.0,3601113,Salary
Pays de la Loire,2012,legislative,1416537.5,2398753.5,1955.0,19191.0,3632614,Salary
Pays de la Loire,2012,presidential,2188295.0,2605713.5,1955.0,19191.0,3632614,Salary
Provence-Alpes-Côte d'Azur,2002,legislative,1798276.0,2968051.5,1502.0,16121.0,4629496,Salary
Provence-Alpes-Côte d'Azur,2002,presidential,2304118.5,3027403.5,1502.0,16121.0,4629496,Salary
Provence-Alpes-Côte d'Azur,2004,cantonales,998838.0,1561885.0,1630.0,17011.0,4719132,Salary
Provence-Alpes-Côte d'Azur,2007,legislative,1509142.0,2547078.0,1809.0,18587.0,4864015,Salary
Provence-Alpes-Côte d'Azur,2007,presidential,4636589.5,5496687.5,1809.0,18587.0,4864015,Salary
Provence-Alpes-Côte d'Azur,2008,cantonales,825746.0,1357192.5,1921.0,19217.0,4882913,Salary
Provence-Alpes-Côte d'Azur,2011,cantonales,748492.0,1709639.0,2018.0,20125.0,4916069,Salary
Provence-Alpes-Côte d'Azur,2012,legislative,1913199.0,3358010.0,2098.0,20110.0,4935576,Salary
Provence-Alpes-Côte d'Azur,2012,presidential,2780254.5,3436235.0,2098.0,20110.0,4935576,Salary
Île-de-France,2002,legislative,3625903.5,5789012.0,2146.0,20301.0,11185563,Salary
Île-de-France,2002,presidential,4484453.0,6036524.0,2146.0,20301.0,11185563,Salary
Île-de-France,2004,cantonales,1483170.5,2349328.0,2295.0,21315.0,11350290,Salary
Île-de-France,2007,legislative,3509640.0,6056057.0,2900.0,23194.0,11598866,Salary
Île-de-France,2007,presidential,9001644.5,10531676.0,2900.0,23194.0,11598866,Salary
Île-de-France,2008,cantonales,1274183.0,2429458.5,2878.0,23535.0,11659260,Salary
Île-de-France,2011,cantonales,1086443.5,2811160.0,2950.0,24138.0,11852851,Salary
Île-de-France,2012,legislative,3818206.0,6915841.5,3038.0,24200.0,11898502,Salary
Île-de-France,2012,presidential,5531531.0,6943717.0,3038.0,24200.0,11898502,Salary
