region,taxes,Revenu disponible brut,year
Bretagne,2678.0,19397.0,2013
Centre-Val de Loire,2790.0,19993.0,2013
Corse,2847.0,19127.0,2013
Grand Est,2824.0,19026.0,2013
Hauts-de-France,2554.0,17530.0,2013
Ile-de-France,5142.0,23907.0,2013
Normandie,2630.0,19429.0,2013
Nouvelle-Aquitaine,2730.0,19508.0,2013
Occitanie,2713.0,18894.0,2013
Pays de la Loire,2657.0,19303.0,2013
Provence-Alpes-Côte d'Azur,3386.0,20179.0,2013
DOM,890.0,14119.0,2013
Guadeloupe,1273.0,14893.0,2013
Martinique,1382.0,16319.0,2013
Guyane,867.0,10291.0,2013
La Réunion,685.0,16075.0,2013
Mayotte,138.0,5723.0,2013
Auvergne-Rhône-Alpes,3070.0,20593.0,2014
Bourgogne-Franche-Comté,2713.0,20063.0,2014
Bretagne,2697.0,19530.0,2014
Centre-Val de Loire,2832.0,20021.0,2014
Corse,2969.0,18520.0,2014
Grand Est,2881.0,19189.0,2014
Hauts-de-France,2589.0,17637.0,2014
Ile-de-France,5150.0,24084.0,2014
Normandie,2672.0,19588.0,2014
Nouvelle-Aquitaine,2772.0,19742.0,2014
Occitanie,2750.0,19019.0,2014
Pays de la Loire,2705.0,19302.0,2014
Provence-Alpes-Côte d'Azur,3415.0,20177.0,2014
DOM,905.0,14551.0,2014
Guadeloupe,1300.0,15205.0,2014
Martinique,1412.0,16682.0,2014
Guyane,884.0,10522.0,2014
La Réunion,709.0,16634.0,2014
Mayotte,102.0,6459.0,2014
Auvergne-Rhône-Alpes,3088.0,20664.0,2015
Bourgogne-Franche-Comté,2754.0,20194.0,2015
Bretagne,2738.0,19749.0,2015
Centre-Val de Loire,2874.0,20199.0,2015
Corse,2944.0,18832.0,2015
Grand Est,2923.0,19338.0,2015
Hauts-de-France,2627.0,17794.0,2015
Ile-de-France,5235.0,24190.0,2015
Normandie,2712.0,19698.0,2015
Nouvelle-Aquitaine,2799.0,19786.0,2015
Occitanie,2768.0,19094.0,2015
Pays de la Loire,2720.0,19484.0,2015
Provence-Alpes-Côte d'Azur,3466.0,20370.0,2015
DOM,925.0,14892.0,2015
Guadeloupe,1341.0,15697.0,2015
Martinique,1453.0,17165.0,2015
Guyane,889.0,10589.0,2015
La Réunion,726.0,17036.0,2015
Mayotte,116.0,6747.0,2015
