,Régions,Excédent brut et revenu mixte,Salaires et traitements bruts,Cotisations sociales des salariés et des non-salariés,Impôts               ,Prestations en espèces,Autres (1),Revenu disponible brut,year
25,Bretagne,4267.0,8283.0,1495.0,1874.0,4975.0,1336.0,15492.0,2003
26,Centre-Val de Loire,3772.0,9579.0,1594.0,2035.0,5415.0,1423.0,16560.0,2003
27,Corse,4241.0,7282.0,1360.0,1761.0,4650.0,1396.0,14448.0,2003
28,Grand Est,3341.0,9877.0,1653.0,2055.0,5105.0,1388.0,16003.0,2003
29,Hauts-de-France,2887.0,8859.0,1427.0,1822.0,4616.0,1309.0,14422.0,2003
30,Ile-de-France,4566.0,14913.0,2223.0,3803.0,5038.0,2018.0,20509.0,2003
31,Normandie,3523.0,9091.0,1534.0,1882.0,5256.0,1373.0,15827.0,2003
32,Nouvelle-Aquitaine,4141.0,8590.0,1528.0,1930.0,5277.0,1371.0,15921.0,2003
33,Occitanie,3989.0,8174.0,1474.0,1898.0,5174.0,1360.0,15325.0,2003
34,Pays de la Loire,3681.0,8834.0,1543.0,1892.0,5113.0,1358.0,15551.0,2003
35,Provence-Alpes-Côte d'Azur,4129.0,9107.0,1573.0,2298.0,5470.0,1640.0,16475.0,2003
36,France métropolitaine,3916.0,10156.0,1679.0,2330.0,5136.0,1521.0,16720.0,2003
37,France métropolitaine hors Ile-de-France,3766.0,9059.0,1554.0,1990.0,5158.0,1406.0,15845.0,2003
38,DOM,2631.0,6194.0,499.0,671.0,2599.0,164.0,10418.0,2003
39,Guadeloupe,2167.0,6539.0,487.0,855.0,2750.0,92.0,10206.0,2003
40,Martinique,2754.0,7693.0,635.0,1088.0,2746.0,525.0,11995.0,2003
41,Guyane,2351.0,5073.0,435.0,696.0,1658.0,395.0,8346.0,2003
42,La Réunion,3264.0,6402.0,540.0,481.0,3210.0,-11.0,11844.0,2003
43,Mayotte,873.0,2131.0,87.0,81.0,159.0,13.0,3008.0,2003
44,Hors territoire,,,,,,,,2003
45,France (France métropolitaine+DOM+Hors territoire) ,3877.0,10047.0,1645.0,2279.0,5063.0,1480.0,16543.0,2003
46,Auvergne-Rhône-Alpes,4137.0,10125.0,1734.0,2208.0,5451.0,1573.0,17344.0,2004
47,Bourgogne-Franche-Comté,4044.0,9369.0,1623.0,1969.0,5640.0,1467.0,16928.0,2004
48,Bretagne,4358.0,8513.0,1549.0,1938.0,5184.0,1438.0,16006.0,2004
49,Centre-Val de Loire,3901.0,9873.0,1651.0,2079.0,5665.0,1505.0,17214.0,2004
50,Corse,4358.0,7528.0,1418.0,1860.0,4694.0,1534.0,14836.0,2004
51,Grand Est,3546.0,10186.0,1717.0,2106.0,5336.0,1464.0,16709.0,2004
52,Hauts-de-France,2965.0,9143.0,1480.0,1873.0,4821.0,1382.0,14958.0,2004
53,Ile-de-France,4751.0,15365.0,2295.0,3845.0,5200.0,2139.0,21315.0,2004
54,Normandie,3609.0,9386.0,1593.0,1950.0,5489.0,1445.0,16386.0,2004
55,Nouvelle-Aquitaine,4267.0,8844.0,1581.0,1988.0,5489.0,1467.0,16498.0,2004
56,Occitanie,4093.0,8372.0,1523.0,1952.0,5342.0,1450.0,15782.0,2004
57,Pays de la Loire,3782.0,9085.0,1595.0,1948.0,5338.0,1444.0,16106.0,2004
58,Provence-Alpes-Côte d'Azur,4282.0,9350.0,1630.0,2371.0,5625.0,1755.0,17011.0,2004
59,France métropolitaine,4055.0,10456.0,1739.0,2384.0,5336.0,1616.0,17340.0,2004
60,France métropolitaine hors Ile-de-France,3894.0,9322.0,1610.0,2047.0,5368.0,1495.0,16422.0,2004
61,DOM,2781.0,6407.0,520.0,698.0,2712.0,170.0,10852.0,2004
62,Guadeloupe,2277.0,6828.0,497.0,923.0,2874.0,229.0,10788.0,2004
63,Martinique,3041.0,7931.0,661.0,1110.0,2767.0,522.0,12490.0,2004
64,Guyane,2340.0,5050.0,442.0,680.0,2040.0,303.0,8611.0,2004
65,La Réunion,3432.0,6649.0,572.0,510.0,3334.0,-40.0,12293.0,2004
66,Mayotte,928.0,2341.0,99.0,86.0,172.0,12.0,3268.0,2004
67,Hors territoire,,,,,,,,2004
68,France (France métropolitaine+DOM+Hors territoire) ,4015.0,10343.0,1703.0,2333.0,5261.0,1572.0,17155.0,2004
69,Auvergne-Rhône-Alpes,4225.0,10484.0,1755.0,2318.0,5547.0,1567.0,17750.0,2005
70,Bourgogne-Franche-Comté,4105.0,9612.0,1577.0,2069.0,5793.0,1443.0,17307.0,2005
71,Bretagne,4429.0,9180.0,1614.0,2065.0,5235.0,1463.0,16628.0,2005
72,Centre-Val de Loire,3914.0,10100.0,1653.0,2177.0,5797.0,1482.0,17463.0,2005
73,Corse,4301.0,8099.0,1460.0,1985.0,4650.0,1605.0,15210.0,2005
74,Grand Est,3550.0,10270.0,1603.0,2186.0,5405.0,1450.0,16886.0,2005
75,Hauts-de-France,3006.0,9508.0,1490.0,1980.0,4943.0,1353.0,15340.0,2005
76,Ile-de-France,4903.0,15381.0,2617.0,3993.0,5646.0,2138.0,21458.0,2005
77,Normandie,3668.0,9648.0,1573.0,2042.0,5648.0,1427.0,16776.0,2005
78,Nouvelle-Aquitaine,4326.0,9304.0,1657.0,2098.0,5652.0,1480.0,17007.0,2005
79,Occitanie,4098.0,8977.0,1587.0,2080.0,5417.0,1464.0,16289.0,2005
80,Pays de la Loire,3852.0,9504.0,1656.0,2059.0,5486.0,1446.0,16573.0,2005
81,Provence-Alpes-Côte d'Azur,4295.0,9806.0,1679.0,2511.0,5719.0,1753.0,17383.0,2005
82,France métropolitaine,4120.0,10768.0,1812.0,2502.0,5510.0,1612.0,17696.0,2005
83,France métropolitaine hors Ile-de-France,3939.0,9701.0,1626.0,2157.0,5478.0,1491.0,16826.0,2005
84,DOM,2931.0,6606.0,553.0,748.0,2808.0,291.0,11335.0,2005
85,Guadeloupe,2382.0,6936.0,546.0,965.0,2941.0,451.0,11199.0,2005
86,Martinique,3258.0,8129.0,688.0,1194.0,2977.0,416.0,12898.0,2005
87,Guyane,2422.0,5151.0,458.0,838.0,2229.0,446.0,8952.0,2005
88,La Réunion,3555.0,6947.0,613.0,532.0,3394.0,167.0,12918.0,2005
89,Mayotte,1259.0,2574.0,109.0,91.0,186.0,15.0,3834.0,2005
90,Hors territoire,,,,,,,,2005
91,France (France métropolitaine+DOM+Hors territoire) ,4083.0,10650.0,1775.0,2448.0,5431.0,1572.0,17513.0,2005
92,Auvergne-Rhône-Alpes,4420.0,11038.0,1881.0,2407.0,5686.0,1666.0,18522.0,2006
93,Bourgogne-Franche-Comté,4298.0,9729.0,1644.0,2093.0,6052.0,1507.0,17849.0,2006
94,Bretagne,4649.0,9328.0,1692.0,2111.0,5779.0,1552.0,17505.0,2006
95,Centre-Val de Loire,4133.0,10459.0,1751.0,2234.0,6035.0,1571.0,18213.0,2006
96,Corse,4553.0,8439.0,1580.0,2098.0,5469.0,1697.0,16480.0,2006
97,Grand Est,3707.0,10629.0,1698.0,2237.0,5621.0,1507.0,17529.0,2006
98,Hauts-de-France,3100.0,9800.0,1576.0,2030.0,5359.0,1423.0,16076.0,2006
99,Ile-de-France,5058.0,15962.0,2792.0,4144.0,5263.0,2332.0,21679.0,2006
100,Normandie,3793.0,9983.0,1662.0,2086.0,5868.0,1509.0,17405.0,2006
101,Nouvelle-Aquitaine,4556.0,9682.0,1762.0,2176.0,6113.0,1558.0,17971.0,2006
102,Occitanie,4335.0,9386.0,1692.0,2149.0,5843.0,1546.0,17269.0,2006
103,Pays de la Loire,3998.0,10031.0,1773.0,2132.0,5882.0,1526.0,17532.0,2006
104,Provence-Alpes-Côte d'Azur,4496.0,10049.0,1777.0,2587.0,5837.0,1862.0,17880.0,2006
105,France métropolitaine,4298.0,11168.0,1926.0,2582.0,5689.0,1716.0,18363.0,2006
106,France métropolitaine hors Ile-de-France,4122.0,10061.0,1726.0,2221.0,5787.0,1573.0,17596.0,2006
107,DOM,3131.0,6797.0,589.0,785.0,2966.0,424.0,11944.0,2006
108,Guadeloupe,2568.0,7111.0,582.0,1019.0,3085.0,823.0,11986.0,2006
109,Martinique,3460.0,8218.0,735.0,1271.0,3263.0,740.0,13675.0,2006
110,Guyane,2718.0,5122.0,558.0,811.0,2374.0,643.0,9488.0,2006
111,La Réunion,3807.0,7277.0,635.0,575.0,3543.0,96.0,13513.0,2006
112,Mayotte,1182.0,2830.0,119.0,85.0,210.0,17.0,4035.0,2006
113,Hors territoire,,,,,,,,2006
114,France (France métropolitaine+DOM+Hors territoire) ,4262.0,11049.0,1887.0,2526.0,5608.0,1676.0,18182.0,2006
115,Auvergne-Rhône-Alpes,4639.0,11416.0,1928.0,2478.0,5844.0,1802.0,19295.0,2007
116,Bourgogne-Franche-Comté,4514.0,10321.0,1716.0,2151.0,6191.0,1605.0,18764.0,2007
117,Bretagne,4811.0,9543.0,1724.0,2150.0,5940.0,1668.0,18088.0,2007
118,Centre-Val de Loire,4450.0,10616.0,1774.0,2264.0,6214.0,1670.0,18912.0,2007
119,Corse,4805.0,8826.0,1641.0,2132.0,5666.0,1812.0,17336.0,2007
120,Grand Est,3968.0,10892.0,1731.0,2277.0,5714.0,1624.0,18190.0,2007
121,Hauts-de-France,3284.0,9969.0,1606.0,2069.0,5644.0,1530.0,16752.0,2007
122,Ile-de-France,5312.0,16879.0,2900.0,4255.0,5576.0,2582.0,23194.0,2007
123,Normandie,3993.0,10241.0,1700.0,2134.0,6046.0,1615.0,18061.0,2007
124,Nouvelle-Aquitaine,4709.0,9914.0,1795.0,2216.0,6327.0,1682.0,18621.0,2007
125,Occitanie,4493.0,9681.0,1730.0,2197.0,6104.0,1650.0,18001.0,2007
126,Pays de la Loire,4196.0,10277.0,1807.0,2183.0,6058.0,1634.0,18175.0,2007
127,Provence-Alpes-Côte d'Azur,4650.0,10282.0,1809.0,2634.0,6080.0,2018.0,18587.0,2007
128,France métropolitaine,4507.0,11563.0,1977.0,2642.0,5906.0,1859.0,19216.0,2007
129,France métropolitaine hors Ile-de-France,4322.0,10335.0,1764.0,2269.0,5982.0,1692.0,18298.0,2007
130,DOM,3334.0,6895.0,607.0,896.0,3142.0,314.0,12182.0,2007
131,Guadeloupe,2691.0,7371.0,619.0,1173.0,3219.0,232.0,11721.0,2007
132,Martinique,3813.0,8251.0,774.0,1551.0,3310.0,826.0,13875.0,2007
133,Guyane,2692.0,5208.0,554.0,915.0,2310.0,572.0,9313.0,2007
134,La Réunion,4100.0,7315.0,642.0,615.0,3898.0,99.0,14155.0,2007
135,Mayotte,1144.0,3117.0,131.0,90.0,323.0,19.0,4382.0,2007
136,Hors territoire,,,,,,,,2007
137,France (France métropolitaine+DOM+Hors territoire) ,4471.0,11433.0,1936.0,2587.0,5823.0,1810.0,19014.0,2007
138,Auvergne-Rhône-Alpes,4784.0,11581.0,1960.0,2578.0,6079.0,1840.0,19746.0,2008
139,Bourgogne-Franche-Comté,4431.0,10417.0,1723.0,2231.0,6485.0,1609.0,18988.0,2008
140,Bretagne,4874.0,10104.0,1799.0,2271.0,6225.0,1694.0,18827.0,2008
141,Centre-Val de Loire,4496.0,11097.0,1831.0,2385.0,6537.0,1737.0,19651.0,2008
142,Corse,5304.0,9078.0,1687.0,2261.0,5925.0,1923.0,18282.0,2008
143,Grand Est,4047.0,11013.0,1769.0,2381.0,5910.0,1638.0,18458.0,2008
144,Hauts-de-France,3375.0,10664.0,1648.0,2217.0,5627.0,1521.0,17322.0,2008
145,Ile-de-France,5507.0,17025.0,2878.0,4501.0,5643.0,2739.0,23535.0,2008
146,Normandie,4239.0,10692.0,1733.0,2247.0,6373.0,1673.0,18997.0,2008
147,Nouvelle-Aquitaine,4893.0,10140.0,1851.0,2333.0,6542.0,1720.0,19111.0,2008
148,Occitanie,4652.0,9870.0,1816.0,2296.0,6271.0,1642.0,18323.0,2008
149,Pays de la Loire,4246.0,10683.0,1783.0,2297.0,6360.0,1623.0,18832.0,2008
150,Provence-Alpes-Côte d'Azur,4977.0,10743.0,1921.0,2803.0,6238.0,1983.0,19217.0,2008
151,France métropolitaine,4654.0,11861.0,2013.0,2784.0,6086.0,1901.0,19705.0,2008
152,France métropolitaine hors Ile-de-France,4457.0,10668.0,1813.0,2387.0,6188.0,1707.0,18820.0,2008
153,DOM,3236.0,7206.0,651.0,999.0,3182.0,563.0,12537.0,2008
154,Guadeloupe,3388.0,7843.0,641.0,1256.0,3476.0,578.0,13388.0,2008
155,Martinique,3463.0,8536.0,784.0,1338.0,3412.0,620.0,13909.0,2008
156,Guyane,2351.0,5941.0,701.0,938.0,2149.0,184.0,8986.0,2008
157,La Réunion,3700.0,7453.0,698.0,922.0,3871.0,760.0,14164.0,2008
158,Mayotte,1496.0,3519.0,137.0,159.0,361.0,22.0,5102.0,2008
159,Hors territoire,,,,,,,,2008
160,France (France métropolitaine+DOM+Hors territoire) ,4609.0,11729.0,1972.0,2727.0,5998.0,1859.0,19496.0,2008
161,Auvergne-Rhône-Alpes,4502.0,11422.0,1954.0,2484.0,6395.0,1731.0,19612.0,2009
162,Bourgogne-Franche-Comté,4314.0,10204.0,1717.0,2198.0,6744.0,1552.0,18899.0,2009
163,Bretagne,4552.0,10180.0,1802.0,2233.0,6535.0,1594.0,18826.0,2009
164,Centre-Val de Loire,4186.0,11010.0,1837.0,2335.0,6798.0,1646.0,19468.0,2009
165,Corse,5113.0,9463.0,1750.0,2311.0,6179.0,1854.0,18548.0,2009
166,Grand Est,3775.0,10916.0,1767.0,2319.0,6239.0,1528.0,18372.0,2009
167,Hauts-de-France,3156.0,10491.0,1647.0,2158.0,5998.0,1364.0,17204.0,2009
168,Ile-de-France,5059.0,16982.0,2913.0,4138.0,5908.0,2516.0,23414.0,2009
169,Normandie,3937.0,10627.0,1727.0,2205.0,6582.0,1590.0,18804.0,2009
170,Nouvelle-Aquitaine,4590.0,10068.0,1868.0,2280.0,6851.0,1625.0,18986.0,2009
171,Occitanie,4363.0,9920.0,1826.0,2262.0,6608.0,1569.0,18372.0,2009
172,Pays de la Loire,4007.0,10718.0,1872.0,2241.0,6474.0,1521.0,18607.0,2009
173,Provence-Alpes-Côte d'Azur,4633.0,10886.0,1966.0,2766.0,6565.0,1931.0,19283.0,2009
174,France métropolitaine,4347.0,11809.0,2029.0,2672.0,6378.0,1780.0,19613.0,2009
175,France métropolitaine hors Ile-de-France,4182.0,10613.0,1825.0,2333.0,6487.0,1610.0,18734.0,2009
176,DOM,3218.0,7262.0,698.0,997.0,3528.0,506.0,12819.0,2009
177,Guadeloupe,3279.0,8004.0,667.0,1261.0,3752.0,446.0,13553.0,2009
178,Martinique,3453.0,8707.0,812.0,1365.0,3630.0,732.0,14345.0,2009
179,Guyane,2418.0,6134.0,768.0,897.0,2396.0,210.0,9493.0,2009
180,La Réunion,3755.0,7418.0,773.0,921.0,4433.0,624.0,14536.0,2009
181,Mayotte,1300.0,3482.0,141.0,152.0,395.0,23.0,4907.0,2009
182,Hors territoire,,,,,,,,2009
183,France (France métropolitaine+DOM+Hors territoire) ,4311.0,11680.0,1989.0,2619.0,6292.0,1740.0,19415.0,2009
184,Auvergne-Rhône-Alpes,4478.0,11743.0,1997.0,2557.0,6566.0,1736.0,19969.0,2010
185,Bourgogne-Franche-Comté,4394.0,10409.0,1744.0,2233.0,6949.0,1558.0,19333.0,2010
186,Bretagne,4503.0,10438.0,1843.0,2289.0,6687.0,1617.0,19113.0,2010
187,Centre-Val de Loire,4300.0,11193.0,1858.0,2388.0,6991.0,1675.0,19913.0,2010
188,Corse,4942.0,9768.0,1783.0,2402.0,6258.0,1858.0,18641.0,2010
189,Grand Est,3731.0,11103.0,1793.0,2374.0,6407.0,1511.0,18585.0,2010
190,Hauts-de-France,3151.0,10700.0,1678.0,2208.0,6126.0,1364.0,17455.0,2010
191,Ile-de-France,5079.0,17428.0,2932.0,4201.0,6098.0,2490.0,23962.0,2010
192,Normandie,3909.0,10818.0,1755.0,2246.0,6781.0,1572.0,19079.0,2010
193,Nouvelle-Aquitaine,4619.0,10310.0,1906.0,2331.0,6985.0,1632.0,19309.0,2010
194,Occitanie,4410.0,10119.0,1860.0,2326.0,6743.0,1576.0,18662.0,2010
195,Pays de la Loire,3947.0,10985.0,1906.0,2285.0,6651.0,1520.0,18912.0,2010
196,Provence-Alpes-Côte d'Azur,4659.0,11190.0,2016.0,2841.0,6745.0,1958.0,19695.0,2010
197,France métropolitaine,4353.0,12087.0,2062.0,2730.0,6546.0,1780.0,19974.0,2010
198,France métropolitaine hors Ile-de-France,4185.0,10854.0,1861.0,2390.0,6649.0,1615.0,19052.0,2010
199,DOM,3408.0,7640.0,812.0,849.0,3563.0,464.0,13414.0,2010
200,Guadeloupe,3353.0,8660.0,766.0,1215.0,3800.0,431.0,14263.0,2010
201,Martinique,3734.0,9588.0,1243.0,1317.0,3836.0,923.0,15521.0,2010
202,Guyane,2394.0,6739.0,1367.0,835.0,2400.0,653.0,9984.0,2010
203,La Réunion,4068.0,7467.0,629.0,627.0,4414.0,315.0,15008.0,2010
204,Mayotte,1355.0,3538.0,166.0,127.0,411.0,23.0,5034.0,2010
205,Hors territoire,,,,,,,,2010
206,France (France métropolitaine+DOM+Hors territoire) ,4323.0,11962.0,2024.0,2671.0,6455.0,1738.0,19783.0,2010
207,Auvergne-Rhône-Alpes,4518.0,12025.0,1998.0,2662.0,6709.0,1778.0,20370.0,2011
208,Bourgogne-Franche-Comté,4436.0,10684.0,1754.0,2352.0,7206.0,1603.0,19823.0,2011
209,Bretagne,4539.0,10635.0,1839.0,2396.0,6880.0,1674.0,19493.0,2011
210,Centre-Val de Loire,4282.0,11384.0,1849.0,2483.0,7106.0,1696.0,20136.0,2011
211,Corse,5009.0,9558.0,1714.0,2490.0,6519.0,1949.0,18831.0,2011
212,Grand Est,3859.0,11544.0,1830.0,2502.0,6443.0,1544.0,19058.0,2011
213,Hauts-de-France,3154.0,10859.0,1668.0,2295.0,6099.0,1402.0,17551.0,2011
214,Ile-de-France,5324.0,17618.0,2950.0,4450.0,6085.0,2511.0,24138.0,2011
215,Normandie,3848.0,10948.0,1741.0,2332.0,6996.0,1596.0,19315.0,2011
216,Nouvelle-Aquitaine,4577.0,10539.0,1895.0,2430.0,7202.0,1683.0,19676.0,2011
217,Occitanie,4424.0,10269.0,1846.0,2422.0,6899.0,1614.0,18938.0,2011
218,Pays de la Loire,3890.0,11089.0,1873.0,2372.0,6853.0,1549.0,19136.0,2011
219,Provence-Alpes-Côte d'Azur,4761.0,11431.0,2018.0,3010.0,6957.0,2004.0,20125.0,2011
220,France métropolitaine,4418.0,12309.0,2063.0,2865.0,6661.0,1816.0,20276.0,2011
221,France métropolitaine hors Ile-de-France,4209.0,11078.0,1857.0,2498.0,6795.0,1655.0,19382.0,2011
222,DOM,3493.0,7819.0,876.0,871.0,3623.0,499.0,13687.0,2011
223,Guadeloupe,3382.0,8875.0,790.0,1239.0,3841.0,424.0,14493.0,2011
224,Martinique,3791.0,9766.0,1266.0,1340.0,3908.0,965.0,15824.0,2011
225,Guyane,2409.0,6845.0,1388.0,845.0,2437.0,603.0,10061.0,2011
226,La Réunion,4186.0,7726.0,762.0,657.0,4519.0,407.0,15419.0,2011
227,Mayotte,1616.0,3575.0,169.0,151.0,426.0,13.0,5310.0,2011
228,Hors territoire,,,,,,,,2011
229,France (France métropolitaine+DOM+Hors territoire) ,4389.0,12179.0,2027.0,2801.0,6569.0,1774.0,20083.0,2011
230,Auvergne-Rhône-Alpes,4575.0,12281.0,2086.0,2903.0,6896.0,1685.0,20448.0,2012
231,Bourgogne-Franche-Comté,4302.0,10809.0,1824.0,2549.0,7483.0,1474.0,19695.0,2012
232,Bretagne,4499.0,10734.0,1902.0,2583.0,7143.0,1562.0,19453.0,2012
233,Centre-Val de Loire,4221.0,11469.0,1918.0,2672.0,7323.0,1581.0,20004.0,2012
234,Corse,5335.0,10279.0,1868.0,2730.0,6208.0,1902.0,19126.0,2012
235,Grand Est,3818.0,11616.0,1882.0,2691.0,6675.0,1440.0,18976.0,2012
236,Hauts-de-France,3173.0,11035.0,1737.0,2464.0,6274.0,1287.0,17568.0,2012
237,Ile-de-France,5469.0,17962.0,3038.0,4891.0,6327.0,2371.0,24200.0,2012
238,Normandie,3874.0,11180.0,1819.0,2530.0,7212.0,1485.0,19402.0,2012
239,Nouvelle-Aquitaine,4601.0,10597.0,1965.0,2623.0,7458.0,1577.0,19645.0,2012
240,Occitanie,4413.0,10460.0,1920.0,2616.0,7087.0,1514.0,18938.0,2012
241,Pays de la Loire,3890.0,11317.0,1955.0,2559.0,7056.0,1442.0,19191.0,2012
242,Provence-Alpes-Côte d'Azur,4778.0,11580.0,2098.0,3246.0,7218.0,1878.0,20110.0,2012
243,France métropolitaine,4446.0,12501.0,2139.0,3110.0,6883.0,1702.0,20283.0,2012
244,France métropolitaine hors Ile-de-France,4210.0,11238.0,1931.0,2699.0,7012.0,1547.0,19377.0,2012
245,DOM,3580.0,7969.0,919.0,885.0,3695.0,509.0,13949.0,2012
246,Guadeloupe,3355.0,9241.0,889.0,1264.0,3902.0,437.0,14782.0,2012
247,Martinique,3933.0,9890.0,1383.0,1366.0,4058.0,1008.0,16140.0,2012
248,Guyane,2609.0,6922.0,1364.0,868.0,2430.0,588.0,10317.0,2012
249,La Réunion,4276.0,7891.0,779.0,671.0,4615.0,416.0,15748.0,2012
250,Mayotte,1724.0,3545.0,172.0,147.0,448.0,14.0,5412.0,2012
251,Hors territoire,,,,,,,,2012
252,France (France métropolitaine+DOM+Hors territoire) ,4418.0,12373.0,2102.0,3040.0,6785.0,1664.0,20098.0,2012
253,Auvergne-Rhône-Alpes,4478.0,12452.0,2181.0,3023.0,7067.0,1675.0,20468.0,2013
254,Bourgogne-Franche-Comté,4282.0,10897.0,1899.0,2658.0,7657.0,1492.0,19771.0,2013
255,Bretagne,4398.0,10804.0,1982.0,2678.0,7295.0,1560.0,19397.0,2013
256,Centre-Val de Loire,4053.0,11630.0,2004.0,2790.0,7516.0,1588.0,19993.0,2013
257,Corse,5278.0,10348.0,1948.0,2847.0,6370.0,1926.0,19127.0,2013
258,Grand Est,3729.0,11812.0,1979.0,2824.0,6855.0,1433.0,19026.0,2013
259,Hauts-de-France,3123.0,11006.0,1805.0,2554.0,6469.0,1291.0,17530.0,2013
260,Ile-de-France,5405.0,17988.0,3138.0,5142.0,6469.0,2325.0,23907.0,2013
261,Normandie,3821.0,11222.0,1891.0,2630.0,7403.0,1504.0,19429.0,2013
262,Nouvelle-Aquitaine,4483.0,10653.0,2051.0,2730.0,7575.0,1578.0,19508.0,2013
263,Occitanie,4324.0,10523.0,2003.0,2713.0,7255.0,1508.0,18894.0,2013
264,Pays de la Loire,3838.0,11475.0,2048.0,2657.0,7248.0,1447.0,19303.0,2013
265,Provence-Alpes-Côte d'Azur,4819.0,11601.0,2171.0,3386.0,7428.0,1888.0,20179.0,2013
266,France métropolitaine,4376.0,12579.0,2225.0,3248.0,7052.0,1694.0,20228.0,2013
267,France métropolitaine hors Ile-de-France,4138.0,11329.0,2015.0,2810.0,7187.0,1549.0,19378.0,2013
268,DOM,3614.0,8070.0,896.0,890.0,3719.0,502.0,14119.0,2013
269,Guadeloupe,3381.0,9310.0,891.0,1273.0,3927.0,439.0,14893.0,2013
270,Martinique,3956.0,10041.0,1303.0,1382.0,4021.0,986.0,16319.0,2013
271,Guyane,2484.0,7028.0,1271.0,867.0,2369.0,548.0,10291.0,2013
272,La Réunion,4365.0,8055.0,795.0,685.0,4711.0,424.0,16075.0,2013
273,Mayotte,1859.0,3596.0,159.0,138.0,552.0,13.0,5723.0,2013
274,Hors territoire,,,,,,,,2013
275,France (France métropolitaine+DOM+Hors territoire) ,4352.0,12450.0,2185.0,3173.0,6950.0,1657.0,20051.0,2013
276,Auvergne-Rhône-Alpes,4485.0,12613.0,2243.0,3070.0,7191.0,1617.0,20593.0,2014
277,Bourgogne-Franche-Comté,4436.0,10989.0,1941.0,2713.0,7804.0,1488.0,20063.0,2014
278,Bretagne,4426.0,10836.0,2028.0,2697.0,7444.0,1549.0,19530.0,2014
279,Centre-Val de Loire,4024.0,11695.0,2050.0,2832.0,7650.0,1534.0,20021.0,2014
280,Corse,4922.0,10305.0,1993.0,2969.0,6430.0,1825.0,18520.0,2014
281,Grand Est,3785.0,11897.0,2029.0,2881.0,6996.0,1421.0,19189.0,2014
282,Hauts-de-France,3120.0,11097.0,1852.0,2589.0,6601.0,1260.0,17637.0,2014
283,Ile-de-France,5427.0,18151.0,3216.0,5150.0,6593.0,2279.0,24084.0,2014
284,Normandie,3854.0,11294.0,1935.0,2672.0,7558.0,1489.0,19588.0,2014
285,Nouvelle-Aquitaine,4623.0,10716.0,2101.0,2772.0,7712.0,1564.0,19742.0,2014
286,Occitanie,4346.0,10632.0,2057.0,2750.0,7364.0,1484.0,19019.0,2014
287,Pays de la Loire,3817.0,11526.0,2097.0,2705.0,7363.0,1398.0,19302.0,2014
288,Provence-Alpes-Côte d'Azur,4732.0,11703.0,2221.0,3415.0,7524.0,1854.0,20177.0,2014
289,France métropolitaine,4400.0,12685.0,2282.0,3283.0,7179.0,1662.0,20361.0,2014
